,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
384,P01CM2E2,CM2,expositif,0.0,7.0,807.914,3.962,3.885,7.847,0.504906334,0.495093666,6.0,celui ,285.0,291.0,291.0,P,1
385,P01CM2E2,CM2,expositif,0.0,7.0,817.461,6.318,5.585,11.903,0.530790557,0.469209443,4.0,qui ,291.0,295.0,295.0,P,1
386,P01CM2E2,CM2,expositif,0.0,7.0,829.036,11.622,5.257,16.879,0.6885479,0.3114521,4.0,en a,295.0,299.0,299.0,P,3
387,P01CM2E2,CM2,expositif,0.0,7.0,855.275,13.588,14.617,28.205,0.481758553,0.518241447,13.0,vait fait soi,299.0,312.0,312.0,P,3
388,P01CM2E2,CM2,expositif,0.0,7.0,879.752,3.557,10.889,14.446,0.246227329,0.753772671,5.0, puni,312.0,317.0,317.0,P,1
390,P01CM2E2,CM2,expositif,0.0,7.0,903.948,3.307,14.789,18.096,0.182747569,0.817252431,2.0,. ,318.0,320.0,320.0,P,3
391,P01CM2E2,CM2,expositif,0.0,7.0,911.81,47.05,4.555,51.605,0.911733359,0.088266641,31.0,mais tous le monded ne respecte,320.0,338.0,351.0,P,0
393,P01CM2E2,CM2,expositif,0.0,7.0,971.699,17.207,4.15,21.357,0.805684319,0.194315681,15.0, pas les règle.,350.0,324.0,365.0,RB,3
394,P01CM2E2,CM2,expositif,0.0,7.0,998.094,17.41,9.188,26.598,0.654560493,0.345439507,11.0, domage que,324.0,321.0,376.0,RB,3
397,P01CM2N1,CM2,narratif,0.0,7.0,343.14,19.375,7.504,26.879,0.720822947,0.279177053,6.0,l étai,3.0,7.0,7.0,RB,3
398,P01CM2N1,CM2,narratif,0.0,7.0,366.758,4.867,4.243,9.11,0.534248079,0.465751921,6.0,t une ,7.0,13.0,13.0,RB,1
