,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
1952,P05CM2N1,CM2,narratif,0.0,8.0,577.828,28.049,6.131,34.18,0.820626097,0.179373903,18.0, elle a giffle mor,137.0,155.0,155.0,P,1
1953,P05CM2N1,CM2,narratif,0.0,8.0,618.825,3.915,12.948,16.863,0.232165095,0.767834905,4.0,gane,155.0,159.0,159.0,P,4
1954,P05CM2N1,CM2,narratif,0.0,8.0,628.793,1.045,6.053,7.098,0.14722457,0.85277543,2.0,. ,159.0,161.0,161.0,P,0
1955,P05CM2N1,CM2,narratif,0.0,8.0,645.127,20.763,15.289,36.052,0.575918118,0.424081882,18.0,Morgane est en col,161.0,179.0,179.0,P,1
1956,P05CM2N1,CM2,narratif,0.0,8.0,675.781,8.907,9.891,18.798,0.473827003,0.526172997,5.0,ere .,179.0,184.0,184.0,P,4
1958,P05CM2N1,CM2,narratif,0.0,8.0,700.866,8.705,6.116,14.821,0.587342285,0.412657715,9.0,Elle vat ,185.0,194.0,194.0,P,0
1959,P05CM2N1,CM2,narratif,0.0,8.0,717.183,8.986,7.612,16.598,0.541390529,0.458609471,6.0,giffle,194.0,200.0,200.0,P,4
1960,P05CM2N1,CM2,narratif,0.0,8.0,731.286,13.759,5.117,18.876,0.728915024,0.271084976,8.0,r shazya,200.0,208.0,208.0,P,4
1961,P05CM2N1,CM2,narratif,0.0,8.0,749.179,7.519,4.134,11.653,0.645241569,0.354758431,6.0, puie ,208.0,214.0,214.0,P,0
1962,P05CM2N1,CM2,narratif,0.0,8.0,761.285,21.481,4.587,26.068,0.824037134,0.175962866,9.0,ainsi de ,214.0,223.0,223.0,P,4
1963,P05CM2N1,CM2,narratif,0.0,8.0,790.722,4.883,7.956,12.839,0.380325571,0.619674429,6.0,suite.,223.0,229.0,229.0,P,0
1964,P05CM2N1,CM2,narratif,0.0,8.0,799.864,12.854,4.259,17.113,0.751124876,0.248875124,12.0, Les autres ,229.0,241.0,241.0,P,4
1965,P05CM2N1,CM2,narratif,0.0,8.0,819.426,4.478,6.708,11.186,0.400321831,0.599678169,5.0,tante,241.0,246.0,246.0,P,0
1966,P05CM2N1,CM2,narratif,0.0,8.0,829.426,2.574,5.522,8.096,0.317934783,0.682065217,5.0,é de ,246.0,250.0,250.0,RB,0
1967,P05CM2N1,CM2,narratif,0.0,8.0,838.661,11.856,6.661,18.517,0.640276503,0.359723497,8.0,les arre,250.0,258.0,258.0,P,4
1968,P05CM2N1,CM2,narratif,0.0,8.0,855.463,2.574,4.946,7.52,0.342287234,0.657712766,3.0,té ,258.0,261.0,261.0,P,0
1969,P05CM2N1,CM2,narratif,0.0,8.0,865.743,5.788,7.706,13.494,0.428931377,0.571068623,7.0,mais il,261.0,268.0,268.0,P,0
1970,P05CM2N1,CM2,narratif,0.0,8.0,876.741,14.477,5.21,19.687,0.735358358,0.264641642,11.0,s n'arrivé ,268.0,279.0,279.0,P,4
1971,P05CM2N1,CM2,narratif,0.0,8.0,899.19,3.884,7.972,11.856,0.327597841,0.672402159,5.0,pas .,279.0,284.0,284.0,P,0
1972,P05CM2N1,CM2,narratif,0.0,8.0,907.333,7.254,4.259,11.513,0.630070355,0.369929645,6.0,du cou,284.0,289.0,289.0,RB,0
1973,P05CM2N1,CM2,narratif,0.0,8.0,927.863,9.438,13.276,22.714,0.415514661,0.584485339,7.0,p ils a,289.0,296.0,296.0,P,4
1974,P05CM2N1,CM2,narratif,0.0,8.0,942.09,2.621,4.789,7.41,0.353711201,0.646288799,3.0,ppe,296.0,299.0,299.0,P,0
1975,P05CM2N1,CM2,narratif,0.0,8.0,948.985,11.154,4.274,15.428,0.722971221,0.277028779,5.0,llère,299.0,304.0,304.0,P,4
1976,P05CM2N1,CM2,narratif,0.0,8.0,964.71,15.086,4.571,19.657,0.767461973,0.232538027,14.0,nt le maitre .,304.0,318.0,318.0,P,4
1977,P05CM2N1,CM2,narratif,0.0,8.0,993.836,6.427,14.04,20.467,0.314017687,0.685982313,4.0, le ,318.0,322.0,322.0,P,4
1978,P05CM2N1,CM2,narratif,0.0,8.0,1007.033,12.278,6.77,19.048,0.644582108,0.355417892,10.0,Le maitre ,322.0,329.0,329.0,RB,4
1979,P05CM2N1,CM2,narratif,0.0,8.0,1023.881,5.039,4.57,9.609,0.524404204,0.475595796,5.0,vena ,329.0,334.0,334.0,P,0
1980,P05CM2N1,CM2,narratif,0.0,8.0,1037.953,0.187,9.033,9.22,0.020281996,0.979718004,1.0,.,334.0,335.0,335.0,P,0
1981,P05CM2N1,CM2,narratif,0.0,8.0,1044.988,29.687,6.848,36.535,0.812563295,0.187436705,28.0,et essaille de les arrete . ,335.0,362.0,362.0,RB,1
1982,P05CM2N1,CM2,narratif,0.0,8.0,1080.401,12.386,5.726,18.112,0.683856007,0.316143993,10.0,Ila fallut,362.0,372.0,372.0,P,4
1984,P05CM2N1,CM2,narratif,0.0,8.0,1106.983,23.915,4.789,28.704,0.833159142,0.166840858,28.0,de maitre pour les arretes .,373.0,401.0,401.0,P,4
1985,P05CM2N1,CM2,narratif,0.0,8.0,1145.001,5.631,14.103,19.734,0.28534509,0.71465491,4.0, FIN,401.0,364.0,405.0,P,4
1988,P06C6E1,C6,expositif,0.0,2.0,199.026,13.338,2.09,15.428,0.86453202,0.13546798,27.0,'aime pas la violence car l,4.0,31.0,31.0,P,4
1991,P06C6E1,C6,expositif,0.0,2.0,246.653,29.796,15.475,45.271,0.658169689,0.341830311,36.0,une des deux personnes va allé pleur,51.0,78.0,78.0,P,1
1992,P06C6E1,C6,expositif,0.0,2.0,278.977,1.575,2.528,4.103,0.383865464,0.616134536,4.0,er a,78.0,82.0,82.0,P,0
1994,P06C6E1,C6,expositif,0.0,2.0,285.591,1.201,2.98,4.181,0.287251854,0.712748146,2.0,à ,81.0,83.0,83.0,P,0
